-999-01-01, 00:00:00 UTC = -225-03-25, 17:00:08 ÄÜC
0005-01-01, 00:00:00 UTC = 0688-00-12, 04:00:22 ÄÜC
0006-01-01, 00:00:00 UTC = 0688-06-29, 30:33:15 ÄÜC
0007-01-01, 00:00:00 UTC = 0689-05-47, 08:17:07 ÄÜC
0008-01-01, 00:00:00 UTC = 0690-05-15, 35:00:48 ÄÜC
0009-01-01, 00:00:00 UTC = 0691-04-34, 05:25:10 ÄÜC
0010-01-01, 00:00:00 UTC = 0692-04-02, 32:09:02 ÄÜC
0011-01-01, 00:00:00 UTC = 0693-03-20, 09:41:44 ÄÜC
0012-01-01, 00:00:00 UTC = 0694-02-37, 36:25:36 ÄÜC
0013-01-01, 00:00:00 UTC = 0695-02-07, 07:00:46 ÄÜC
0014-01-01, 00:00:00 UTC = 0696-01-24, 33:33:39 ÄÜC
0015-01-01, 00:00:00 UTC = 0697-00-42, 11:17:31 ÄÜC
0016-01-01, 00:00:00 UTC = 0698-00-10, 38:01:24 ÄÜC
0017-01-01, 00:00:00 UTC = 0698-06-29, 08:25:34 ÄÜC
0018-01-01, 00:00:00 UTC = 0699-05-46, 35:09:27 ÄÜC
0019-01-01, 00:00:00 UTC = 0700-05-15, 12:42:19 ÄÜC
0020-01-01, 00:00:00 UTC = 0701-04-32, 39:26:11 ÄÜC
0021-01-01, 00:00:00 UTC = 0702-04-02, 10:01:22 ÄÜC
0022-01-01, 00:00:00 UTC = 0703-03-19, 36:34:14 ÄÜC
0023-01-01, 00:00:00 UTC = 0704-02-37, 14:18:07 ÄÜC
0024-01-01, 00:00:00 UTC = 0705-02-05, 41:01:48 ÄÜC
0025-01-01, 00:00:00 UTC = 0706-01-24, 11:26:09 ÄÜC
0026-01-01, 00:00:00 UTC = 0707-00-41, 38:10:02 ÄÜC
0027-01-01, 00:00:00 UTC = 0708-00-10, 15:42:43 ÄÜC
0028-01-01, 00:00:00 UTC = 0708-06-27, 42:26:36 ÄÜC
0029-01-01, 00:00:00 UTC = 0709-05-46, 13:01:46 ÄÜC
0030-01-01, 00:00:00 UTC = 0710-05-14, 39:34:39 ÄÜC
0031-01-01, 00:00:00 UTC = 0711-04-32, 17:18:31 ÄÜC
0032-01-01, 00:00:00 UTC = 0712-04-00, 44:02:23 ÄÜC
0033-01-01, 00:00:00 UTC = 0713-03-19, 14:26:34 ÄÜC
0034-01-01, 00:00:00 UTC = 0714-02-36, 41:10:26 ÄÜC
0035-01-01, 00:00:00 UTC = 0715-02-05, 18:43:19 ÄÜC
0036-01-01, 00:00:00 UTC = 0716-01-22, 45:27:11 ÄÜC
0037-01-01, 00:00:00 UTC = 0717-00-41, 16:02:21 ÄÜC
0038-01-01, 00:00:00 UTC = 0718-00-09, 42:35:14 ÄÜC
0039-01-01, 00:00:00 UTC = 0718-06-27, 20:19:06 ÄÜC
0040-01-01, 00:00:00 UTC = 0719-05-44, 47:02:48 ÄÜC
0041-01-01, 00:00:00 UTC = 0720-05-14, 17:27:09 ÄÜC
0042-01-01, 00:00:00 UTC = 0721-04-31, 44:11:02 ÄÜC
0043-01-01, 00:00:00 UTC = 0722-04-00, 21:43:43 ÄÜC
0044-01-01, 00:00:00 UTC = 0723-03-17, 48:27:35 ÄÜC
0045-01-01, 00:00:00 UTC = 0724-02-36, 19:02:46 ÄÜC
0046-01-01, 00:00:00 UTC = 0725-02-04, 45:35:38 ÄÜC
0047-01-01, 00:00:00 UTC = 0726-01-22, 23:19:31 ÄÜC
0048-01-01, 00:00:00 UTC = 0727-00-40, 01:03:23 ÄÜC
0049-01-01, 00:00:00 UTC = 0728-00-09, 20:27:33 ÄÜC
0050-01-01, 00:00:00 UTC = 0728-06-26, 47:11:26 ÄÜC
0051-01-01, 00:00:00 UTC = 0729-05-44, 24:44:18 ÄÜC
0052-01-01, 00:00:00 UTC = 0730-05-13, 02:28:11 ÄÜC
0053-01-01, 00:00:00 UTC = 0731-04-31, 22:03:21 ÄÜC
0054-01-01, 00:00:00 UTC = 0732-03-48, 48:36:14 ÄÜC
0055-01-01, 00:00:00 UTC = 0733-03-17, 26:20:06 ÄÜC
0056-01-01, 00:00:00 UTC = 0734-02-35, 04:03:47 ÄÜC
0057-01-01, 00:00:00 UTC = 0735-02-04, 23:28:09 ÄÜC
0058-01-01, 00:00:00 UTC = 0736-01-22, 01:12:01 ÄÜC
0059-01-01, 00:00:00 UTC = 0737-00-39, 27:44:43 ÄÜC
0060-01-01, 00:00:00 UTC = 0738-00-08, 05:28:35 ÄÜC
0061-01-01, 00:00:00 UTC = 0738-06-26, 25:03:45 ÄÜC
0062-01-01, 00:00:00 UTC = 0739-05-44, 02:36:38 ÄÜC
0063-01-01, 00:00:00 UTC = 0740-05-12, 29:20:30 ÄÜC
0064-01-01, 00:00:00 UTC = 0741-04-30, 07:04:23 ÄÜC
0065-01-01, 00:00:00 UTC = 0742-03-48, 26:28:33 ÄÜC
0066-01-01, 00:00:00 UTC = 0743-03-17, 04:12:26 ÄÜC
0067-01-01, 00:00:00 UTC = 0744-02-34, 30:45:18 ÄÜC
0068-01-01, 00:00:00 UTC = 0745-02-03, 08:29:10 ÄÜC
0069-01-01, 00:00:00 UTC = 0746-01-21, 28:04:21 ÄÜC
0070-01-01, 00:00:00 UTC = 0747-00-39, 05:37:13 ÄÜC
0071-01-01, 00:00:00 UTC = 0748-00-07, 32:21:06 ÄÜC
0072-01-01, 00:00:00 UTC = 0748-06-25, 10:04:47 ÄÜC
0073-01-01, 00:00:00 UTC = 0749-05-43, 29:29:08 ÄÜC
0074-01-01, 00:00:00 UTC = 0750-05-12, 07:13:01 ÄÜC
0075-01-01, 00:00:00 UTC = 0751-04-29, 33:45:42 ÄÜC
0076-01-01, 00:00:00 UTC = 0752-03-47, 11:29:35 ÄÜC
0077-01-01, 00:00:00 UTC = 0753-03-16, 31:04:45 ÄÜC
0078-01-01, 00:00:00 UTC = 0754-02-34, 08:37:38 ÄÜC
0079-01-01, 00:00:00 UTC = 0755-02-02, 35:21:30 ÄÜC
0080-01-01, 00:00:00 UTC = 0756-01-20, 13:05:22 ÄÜC
0081-01-01, 00:00:00 UTC = 0757-00-38, 32:29:33 ÄÜC
0082-01-01, 00:00:00 UTC = 0758-00-07, 10:13:25 ÄÜC
0083-01-01, 00:00:00 UTC = 0758-06-24, 36:46:18 ÄÜC
0084-01-01, 00:00:00 UTC = 0759-05-42, 14:30:10 ÄÜC
0085-01-01, 00:00:00 UTC = 0760-05-11, 34:05:20 ÄÜC
0086-01-01, 00:00:00 UTC = 0761-04-29, 11:38:13 ÄÜC
0087-01-01, 00:00:00 UTC = 0762-03-46, 38:22:05 ÄÜC
0088-01-01, 00:00:00 UTC = 0763-03-15, 16:05:47 ÄÜC
0089-01-01, 00:00:00 UTC = 0764-02-33, 35:30:08 ÄÜC
0090-01-01, 00:00:00 UTC = 0765-02-02, 13:14:01 ÄÜC
0091-01-01, 00:00:00 UTC = 0766-01-19, 39:46:42 ÄÜC
0092-01-01, 00:00:00 UTC = 0767-00-37, 17:30:34 ÄÜC
0093-01-01, 00:00:00 UTC = 0768-00-06, 37:05:45 ÄÜC
0094-01-01, 00:00:00 UTC = 0768-06-24, 14:38:37 ÄÜC
0095-01-01, 00:00:00 UTC = 0769-05-41, 41:22:30 ÄÜC
0096-01-01, 00:00:00 UTC = 0770-05-10, 19:06:22 ÄÜC
0097-01-01, 00:00:00 UTC = 0771-04-28, 38:30:32 ÄÜC
0098-01-01, 00:00:00 UTC = 0772-03-46, 16:14:25 ÄÜC
0099-01-01, 00:00:00 UTC = 0773-03-14, 42:47:17 ÄÜC
0100-01-01, 00:00:00 UTC = 0774-02-32, 20:31:10 ÄÜC
0101-01-01, 00:00:00 UTC = 0775-02-00, 47:15:02 ÄÜC
0102-01-01, 00:00:00 UTC = 0776-01-18, 24:47:44 ÄÜC
0103-01-01, 00:00:00 UTC = 0777-00-36, 02:31:36 ÄÜC
0104-01-01, 00:00:00 UTC = 0778-00-04, 29:15:29 ÄÜC
0105-01-01, 00:00:00 UTC = 0778-06-22, 48:39:39 ÄÜC
0106-01-01, 00:00:00 UTC = 0779-05-40, 26:23:31 ÄÜC
0107-01-01, 00:00:00 UTC = 0780-05-09, 04:07:24 ÄÜC
0108-01-01, 00:00:00 UTC = 0781-04-26, 30:40:16 ÄÜC
0109-01-01, 00:00:00 UTC = 0782-03-45, 01:15:27 ÄÜC
0110-01-01, 00:00:00 UTC = 0783-03-13, 27:48:19 ÄÜC
0111-01-01, 00:00:00 UTC = 0784-02-31, 05:32:12 ÄÜC
0112-01-01, 00:00:00 UTC = 0785-01-48, 32:16:04 ÄÜC
0113-01-01, 00:00:00 UTC = 0786-01-18, 02:40:14 ÄÜC
0114-01-01, 00:00:00 UTC = 0787-00-35, 29:24:07 ÄÜC
0115-01-01, 00:00:00 UTC = 0788-00-04, 07:07:48 ÄÜC
0116-01-01, 00:00:00 UTC = 0788-06-21, 33:40:41 ÄÜC
0117-01-01, 00:00:00 UTC = 0789-05-40, 04:16:02 ÄÜC
0118-01-01, 00:00:00 UTC = 0790-05-08, 30:48:43 ÄÜC
0119-01-01, 00:00:00 UTC = 0791-04-26, 08:32:36 ÄÜC
0120-01-01, 00:00:00 UTC = 0792-03-43, 35:16:28 ÄÜC
0121-01-01, 00:00:00 UTC = 0793-03-13, 05:40:39 ÄÜC
0122-01-01, 00:00:00 UTC = 0794-02-30, 32:24:31 ÄÜC
0123-01-01, 00:00:00 UTC = 0795-01-48, 10:08:24 ÄÜC
0124-01-01, 00:00:00 UTC = 0796-01-16, 36:41:16 ÄÜC
0125-01-01, 00:00:00 UTC = 0797-00-35, 07:16:26 ÄÜC
0126-01-01, 00:00:00 UTC = 0798-00-03, 34:00:19 ÄÜC
0127-01-01, 00:00:00 UTC = 0798-06-21, 11:33:11 ÄÜC
0128-01-01, 00:00:00 UTC = 0799-05-38, 38:17:04 ÄÜC
0129-01-01, 00:00:00 UTC = 0800-05-08, 08:41:14 ÄÜC
0130-01-01, 00:00:00 UTC = 0801-04-25, 35:25:06 ÄÜC
0131-01-01, 00:00:00 UTC = 0802-03-43, 13:08:48 ÄÜC
0132-01-01, 00:00:00 UTC = 0803-03-11, 39:41:40 ÄÜC
0133-01-01, 00:00:00 UTC = 0804-02-30, 10:17:02 ÄÜC
0134-01-01, 00:00:00 UTC = 0805-01-47, 37:00:43 ÄÜC
0135-01-01, 00:00:00 UTC = 0806-01-16, 14:33:36 ÄÜC
0136-01-01, 00:00:00 UTC = 0807-00-33, 41:17:28 ÄÜC
0137-01-01, 00:00:00 UTC = 0808-00-03, 11:41:38 ÄÜC
0138-01-01, 00:00:00 UTC = 0808-06-20, 38:25:31 ÄÜC
0139-01-01, 00:00:00 UTC = 0809-05-38, 16:09:23 ÄÜC
0140-01-01, 00:00:00 UTC = 0810-05-06, 42:42:16 ÄÜC
0141-01-01, 00:00:00 UTC = 0811-04-25, 13:17:26 ÄÜC
0142-01-01, 00:00:00 UTC = 0812-03-42, 40:01:18 ÄÜC
0143-01-01, 00:00:00 UTC = 0813-03-11, 17:34:11 ÄÜC
0144-01-01, 00:00:00 UTC = 0814-02-28, 44:18:03 ÄÜC
0145-01-01, 00:00:00 UTC = 0815-01-47, 14:42:14 ÄÜC
0146-01-01, 00:00:00 UTC = 0816-01-15, 41:26:06 ÄÜC
0147-01-01, 00:00:00 UTC = 0817-00-33, 19:09:48 ÄÜC
0148-01-01, 00:00:00 UTC = 0818-00-01, 45:42:40 ÄÜC
0149-01-01, 00:00:00 UTC = 0818-06-20, 16:18:01 ÄÜC
0150-01-01, 00:00:00 UTC = 0819-05-37, 43:01:43 ÄÜC
0151-01-01, 00:00:00 UTC = 0820-05-06, 20:34:35 ÄÜC
0152-01-01, 00:00:00 UTC = 0821-04-23, 47:18:28 ÄÜC
0153-01-01, 00:00:00 UTC = 0822-03-42, 17:42:38 ÄÜC
0154-01-01, 00:00:00 UTC = 0823-03-10, 44:26:30 ÄÜC
0155-01-01, 00:00:00 UTC = 0824-02-28, 22:10:23 ÄÜC
0156-01-01, 00:00:00 UTC = 0825-01-45, 48:43:15 ÄÜC
0157-01-01, 00:00:00 UTC = 0826-01-15, 19:18:26 ÄÜC
0158-01-01, 00:00:00 UTC = 0827-00-32, 46:02:18 ÄÜC
0159-01-01, 00:00:00 UTC = 0828-00-01, 23:35:11 ÄÜC
0160-01-01, 00:00:00 UTC = 0828-06-19, 01:19:03 ÄÜC
0161-01-01, 00:00:00 UTC = 0829-05-37, 20:43:13 ÄÜC
0162-01-01, 00:00:00 UTC = 0830-05-05, 47:27:06 ÄÜC
0163-01-01, 00:00:00 UTC = 0831-04-23, 25:10:47 ÄÜC
0164-01-01, 00:00:00 UTC = 0832-03-41, 02:43:40 ÄÜC
0165-01-01, 00:00:00 UTC = 0833-03-10, 22:19:01 ÄÜC
0166-01-01, 00:00:00 UTC = 0834-02-28, 00:02:42 ÄÜC
0167-01-01, 00:00:00 UTC = 0835-01-45, 26:35:35 ÄÜC
0168-01-01, 00:00:00 UTC = 0836-01-14, 04:19:27 ÄÜC
0169-01-01, 00:00:00 UTC = 0837-00-32, 23:43:38 ÄÜC
0170-01-01, 00:00:00 UTC = 0838-00-01, 01:27:30 ÄÜC
0171-01-01, 00:00:00 UTC = 0838-06-18, 28:11:23 ÄÜC
0172-01-01, 00:00:00 UTC = 0839-05-36, 05:44:15 ÄÜC
0173-01-01, 00:00:00 UTC = 0840-05-05, 25:19:25 ÄÜC
0174-01-01, 00:00:00 UTC = 0841-04-23, 03:03:18 ÄÜC
0175-01-01, 00:00:00 UTC = 0842-03-40, 29:36:10 ÄÜC
0176-01-01, 00:00:00 UTC = 0843-03-09, 07:20:03 ÄÜC
0177-01-01, 00:00:00 UTC = 0844-02-27, 26:44:13 ÄÜC
0178-01-01, 00:00:00 UTC = 0845-01-45, 04:28:05 ÄÜC
0179-01-01, 00:00:00 UTC = 0846-01-13, 31:11:47 ÄÜC
0180-01-01, 00:00:00 UTC = 0847-00-31, 08:44:39 ÄÜC
0181-01-01, 00:00:00 UTC = 0848-00-00, 28:20:01 ÄÜC
0182-01-01, 00:00:00 UTC = 0848-06-18, 06:03:42 ÄÜC
0183-01-01, 00:00:00 UTC = 0849-05-35, 32:36:35 ÄÜC
0184-01-01, 00:00:00 UTC = 0850-05-04, 10:20:27 ÄÜC
0185-01-01, 00:00:00 UTC = 0851-04-22, 29:44:37 ÄÜC
0186-01-01, 00:00:00 UTC = 0852-03-40, 07:28:30 ÄÜC
0187-01-01, 00:00:00 UTC = 0853-03-08, 34:12:22 ÄÜC
0188-01-01, 00:00:00 UTC = 0854-02-26, 11:45:15 ÄÜC
0189-01-01, 00:00:00 UTC = 0855-01-44, 31:20:25 ÄÜC
0190-01-01, 00:00:00 UTC = 0856-01-13, 09:04:17 ÄÜC
0191-01-01, 00:00:00 UTC = 0857-00-30, 35:37:10 ÄÜC
0192-01-01, 00:00:00 UTC = 0857-06-48, 13:21:02 ÄÜC
0193-01-01, 00:00:00 UTC = 0858-06-17, 32:45:13 ÄÜC
0194-01-01, 00:00:00 UTC = 0859-05-35, 10:29:05 ÄÜC
0195-01-01, 00:00:00 UTC = 0860-05-03, 37:12:47 ÄÜC
0196-01-01, 00:00:00 UTC = 0861-04-21, 14:45:39 ÄÜC
0197-01-01, 00:00:00 UTC = 0862-03-39, 34:21:00 ÄÜC
0198-01-01, 00:00:00 UTC = 0863-03-08, 12:04:42 ÄÜC
0199-01-01, 00:00:00 UTC = 0864-02-25, 38:37:34 ÄÜC
0200-01-01, 00:00:00 UTC = 0865-01-43, 16:21:27 ÄÜC
0201-01-01, 00:00:00 UTC = 0866-01-11, 43:05:19 ÄÜC
0202-01-01, 00:00:00 UTC = 0867-00-29, 20:38:12 ÄÜC
0203-01-01, 00:00:00 UTC = 0867-06-46, 47:22:04 ÄÜC
0204-01-01, 00:00:00 UTC = 0868-06-15, 25:05:46 ÄÜC
0205-01-01, 00:00:00 UTC = 0869-05-33, 44:30:07 ÄÜC
0206-01-01, 00:00:00 UTC = 0870-05-02, 22:13:48 ÄÜC
0207-01-01, 00:00:00 UTC = 0871-04-19, 48:46:41 ÄÜC
0208-01-01, 00:00:00 UTC = 0872-03-37, 26:30:33 ÄÜC
0209-01-01, 00:00:00 UTC = 0873-03-06, 46:05:44 ÄÜC
0210-01-01, 00:00:00 UTC = 0874-02-24, 23:38:36 ÄÜC
0211-01-01, 00:00:00 UTC = 0875-01-42, 01:22:28 ÄÜC
0212-01-01, 00:00:00 UTC = 0876-01-10, 28:06:21 ÄÜC
0213-01-01, 00:00:00 UTC = 0877-00-28, 47:30:31 ÄÜC
0214-01-01, 00:00:00 UTC = 0877-06-46, 25:14:24 ÄÜC
0215-01-01, 00:00:00 UTC = 0878-06-15, 02:47:16 ÄÜC
0216-01-01, 00:00:00 UTC = 0879-05-32, 29:31:09 ÄÜC
0217-01-01, 00:00:00 UTC = 0880-05-02, 00:06:19 ÄÜC
0218-01-01, 00:00:00 UTC = 0881-04-19, 26:39:11 ÄÜC
0219-01-01, 00:00:00 UTC = 0882-03-37, 04:23:04 ÄÜC
0220-01-01, 00:00:00 UTC = 0883-03-05, 31:06:45 ÄÜC
0221-01-01, 00:00:00 UTC = 0884-02-24, 01:31:07 ÄÜC
0222-01-01, 00:00:00 UTC = 0885-01-41, 28:14:48 ÄÜC
0223-01-01, 00:00:00 UTC = 0886-01-10, 05:47:40 ÄÜC
0224-01-01, 00:00:00 UTC = 0887-00-27, 32:31:33 ÄÜC
0225-01-01, 00:00:00 UTC = 0887-06-46, 03:06:43 ÄÜC
0226-01-01, 00:00:00 UTC = 0888-06-14, 29:39:36 ÄÜC
0227-01-01, 00:00:00 UTC = 0889-05-32, 07:23:28 ÄÜC
0228-01-01, 00:00:00 UTC = 0890-05-00, 34:07:21 ÄÜC
0229-01-01, 00:00:00 UTC = 0891-04-19, 04:31:31 ÄÜC
0230-01-01, 00:00:00 UTC = 0892-03-36, 31:15:23 ÄÜC
0231-01-01, 00:00:00 UTC = 0893-03-05, 08:48:16 ÄÜC
0232-01-01, 00:00:00 UTC = 0894-02-22, 35:32:08 ÄÜC
0233-01-01, 00:00:00 UTC = 0895-01-41, 06:07:19 ÄÜC
0234-01-01, 00:00:00 UTC = 0896-01-09, 32:40:11 ÄÜC
0235-01-01, 00:00:00 UTC = 0897-00-27, 10:24:03 ÄÜC
0236-01-01, 00:00:00 UTC = 0897-06-44, 37:07:45 ÄÜC
0237-01-01, 00:00:00 UTC = 0898-06-14, 07:32:06 ÄÜC
0238-01-01, 00:00:00 UTC = 0899-05-31, 34:15:48 ÄÜC
0239-01-01, 00:00:00 UTC = 0900-05-00, 11:48:40 ÄÜC
0240-01-01, 00:00:00 UTC = 0901-04-17, 38:32:33 ÄÜC
0241-01-01, 00:00:00 UTC = 0902-03-36, 09:07:43 ÄÜC
0242-01-01, 00:00:00 UTC = 0903-03-04, 35:40:35 ÄÜC
0243-01-01, 00:00:00 UTC = 0904-02-22, 13:24:28 ÄÜC
0244-01-01, 00:00:00 UTC = 0905-01-39, 40:08:20 ÄÜC
0245-01-01, 00:00:00 UTC = 0906-01-09, 10:32:31 ÄÜC
0246-01-01, 00:00:00 UTC = 0907-00-26, 37:16:23 ÄÜC
0247-01-01, 00:00:00 UTC = 0907-06-44, 15:00:15 ÄÜC
0248-01-01, 00:00:00 UTC = 0908-06-12, 41:33:08 ÄÜC
0249-01-01, 00:00:00 UTC = 0909-05-31, 12:08:18 ÄÜC
0250-01-01, 00:00:00 UTC = 0910-04-48, 38:41:11 ÄÜC
0251-01-01, 00:00:00 UTC = 0911-04-17, 16:25:03 ÄÜC
0252-01-01, 00:00:00 UTC = 0912-03-34, 43:08:45 ÄÜC
0253-01-01, 00:00:00 UTC = 0913-03-04, 13:33:06 ÄÜC
0254-01-01, 00:00:00 UTC = 0914-02-21, 40:16:47 ÄÜC
0255-01-01, 00:00:00 UTC = 0915-01-39, 18:00:40 ÄÜC
0256-01-01, 00:00:00 UTC = 0916-01-07, 44:33:32 ÄÜC
0257-01-01, 00:00:00 UTC = 0917-00-26, 15:08:43 ÄÜC
0258-01-01, 00:00:00 UTC = 0917-06-43, 41:41:35 ÄÜC
0259-01-01, 00:00:00 UTC = 0918-06-12, 19:25:27 ÄÜC
0260-01-01, 00:00:00 UTC = 0919-05-29, 46:09:20 ÄÜC
0261-01-01, 00:00:00 UTC = 0920-04-48, 16:33:30 ÄÜC
0262-01-01, 00:00:00 UTC = 0921-04-16, 43:17:23 ÄÜC
0263-01-01, 00:00:00 UTC = 0922-03-34, 21:01:15 ÄÜC
0264-01-01, 00:00:00 UTC = 0923-03-02, 47:34:08 ÄÜC
0265-01-01, 00:00:00 UTC = 0924-02-21, 18:09:18 ÄÜC
0266-01-01, 00:00:00 UTC = 0925-01-38, 44:42:10 ÄÜC
0267-01-01, 00:00:00 UTC = 0926-01-07, 22:26:03 ÄÜC
0268-01-01, 00:00:00 UTC = 0927-00-25, 00:09:44 ÄÜC
0269-01-01, 00:00:00 UTC = 0927-06-43, 19:34:06 ÄÜC
0270-01-01, 00:00:00 UTC = 0928-06-11, 46:17:47 ÄÜC
0271-01-01, 00:00:00 UTC = 0929-05-29, 24:01:39 ÄÜC
0272-01-01, 00:00:00 UTC = 0930-04-47, 01:34:32 ÄÜC
0273-01-01, 00:00:00 UTC = 0931-04-16, 21:09:42 ÄÜC
0274-01-01, 00:00:00 UTC = 0932-03-33, 47:42:35 ÄÜC
0275-01-01, 00:00:00 UTC = 0933-03-02, 25:26:27 ÄÜC
0276-01-01, 00:00:00 UTC = 0934-02-20, 03:10:20 ÄÜC
0277-01-01, 00:00:00 UTC = 0935-01-38, 22:34:30 ÄÜC
0278-01-01, 00:00:00 UTC = 0936-01-07, 00:18:22 ÄÜC
0279-01-01, 00:00:00 UTC = 0937-00-24, 27:02:15 ÄÜC
0280-01-01, 00:00:00 UTC = 0937-06-42, 04:35:07 ÄÜC
0281-01-01, 00:00:00 UTC = 0938-06-11, 24:10:18 ÄÜC
0282-01-01, 00:00:00 UTC = 0939-05-29, 01:43:10 ÄÜC
0283-01-01, 00:00:00 UTC = 0940-04-46, 28:27:02 ÄÜC
0284-01-01, 00:00:00 UTC = 0941-04-15, 06:10:44 ÄÜC
0285-01-01, 00:00:00 UTC = 0942-03-33, 25:35:05 ÄÜC
0286-01-01, 00:00:00 UTC = 0943-03-02, 03:18:47 ÄÜC
0287-01-01, 00:00:00 UTC = 0944-02-19, 30:02:39 ÄÜC
0288-01-01, 00:00:00 UTC = 0945-01-37, 07:35:32 ÄÜC
0289-01-01, 00:00:00 UTC = 0946-01-06, 27:10:42 ÄÜC
0290-01-01, 00:00:00 UTC = 0947-00-24, 04:43:34 ÄÜC
0291-01-01, 00:00:00 UTC = 0947-06-41, 31:27:27 ÄÜC
0292-01-01, 00:00:00 UTC = 0948-06-10, 09:11:19 ÄÜC
0293-01-01, 00:00:00 UTC = 0949-05-28, 28:35:30 ÄÜC
0294-01-01, 00:00:00 UTC = 0950-04-46, 06:19:22 ÄÜC
0295-01-01, 00:00:00 UTC = 0951-04-14, 33:03:14 ÄÜC
0296-01-01, 00:00:00 UTC = 0952-03-32, 10:36:07 ÄÜC
0297-01-01, 00:00:00 UTC = 0953-03-01, 30:11:17 ÄÜC
0298-01-01, 00:00:00 UTC = 0954-02-19, 07:44:10 ÄÜC
0299-01-01, 00:00:00 UTC = 0955-01-36, 34:28:02 ÄÜC
0300-01-01, 00:00:00 UTC = 0956-01-05, 12:11:44 ÄÜC
0301-01-01, 00:00:00 UTC = 0957-00-22, 38:44:36 ÄÜC
0302-01-01, 00:00:00 UTC = 0957-06-40, 16:28:28 ÄÜC
0303-01-01, 00:00:00 UTC = 0958-06-08, 43:12:21 ÄÜC
0304-01-01, 00:00:00 UTC = 0959-05-26, 20:45:13 ÄÜC
0305-01-01, 00:00:00 UTC = 0960-04-44, 40:20:24 ÄÜC
0306-01-01, 00:00:00 UTC = 0961-04-13, 18:04:16 ÄÜC
0307-01-01, 00:00:00 UTC = 0962-03-30, 44:37:09 ÄÜC
0308-01-01, 00:00:00 UTC = 0963-02-48, 22:21:01 ÄÜC
0309-01-01, 00:00:00 UTC = 0964-02-17, 41:45:11 ÄÜC
0310-01-01, 00:00:00 UTC = 0965-01-35, 19:29:04 ÄÜC
0311-01-01, 00:00:00 UTC = 0966-01-03, 46:12:45 ÄÜC
0312-01-01, 00:00:00 UTC = 0967-00-21, 23:45:38 ÄÜC
0313-01-01, 00:00:00 UTC = 0967-06-39, 43:20:48 ÄÜC
0314-01-01, 00:00:00 UTC = 0968-06-08, 21:04:41 ÄÜC
0315-01-01, 00:00:00 UTC = 0969-05-25, 47:37:33 ÄÜC
0316-01-01, 00:00:00 UTC = 0970-04-43, 25:21:25 ÄÜC
0317-01-01, 00:00:00 UTC = 0971-04-12, 44:45:36 ÄÜC
0318-01-01, 00:00:00 UTC = 0972-03-30, 22:29:28 ÄÜC
0319-01-01, 00:00:00 UTC = 0973-02-48, 00:13:21 ÄÜC
0320-01-01, 00:00:00 UTC = 0974-02-16, 26:46:13 ÄÜC
0321-01-01, 00:00:00 UTC = 0975-01-34, 46:21:23 ÄÜC
0322-01-01, 00:00:00 UTC = 0976-01-03, 24:05:16 ÄÜC
0323-01-01, 00:00:00 UTC = 0977-00-21, 01:38:08 ÄÜC
0324-01-01, 00:00:00 UTC = 0977-06-38, 28:22:01 ÄÜC
0325-01-01, 00:00:00 UTC = 0978-06-07, 47:46:11 ÄÜC
0326-01-01, 00:00:00 UTC = 0979-05-25, 25:30:04 ÄÜC
0327-01-01, 00:00:00 UTC = 0980-04-43, 03:13:45 ÄÜC
0328-01-01, 00:00:00 UTC = 0981-04-11, 29:46:37 ÄÜC
0329-01-01, 00:00:00 UTC = 0982-03-30, 00:21:48 ÄÜC
0330-01-01, 00:00:00 UTC = 0983-02-47, 27:05:40 ÄÜC
0331-01-01, 00:00:00 UTC = 0984-02-16, 04:38:33 ÄÜC
0332-01-01, 00:00:00 UTC = 0985-01-33, 31:22:25 ÄÜC
0333-01-01, 00:00:00 UTC = 0986-01-03, 01:46:35 ÄÜC
0334-01-01, 00:00:00 UTC = 0987-00-20, 28:30:28 ÄÜC
0335-01-01, 00:00:00 UTC = 0987-06-38, 06:14:20 ÄÜC
0336-01-01, 00:00:00 UTC = 0988-06-06, 32:47:13 ÄÜC
0337-01-01, 00:00:00 UTC = 0989-05-25, 03:22:23 ÄÜC
0338-01-01, 00:00:00 UTC = 0990-04-42, 30:06:16 ÄÜC
0339-01-01, 00:00:00 UTC = 0991-04-11, 07:39:08 ÄÜC
0340-01-01, 00:00:00 UTC = 0992-03-28, 34:23:00 ÄÜC
0341-01-01, 00:00:00 UTC = 0993-02-47, 04:47:11 ÄÜC
0342-01-01, 00:00:00 UTC = 0994-02-15, 31:31:03 ÄÜC
0343-01-01, 00:00:00 UTC = 0995-01-33, 09:14:45 ÄÜC
0344-01-01, 00:00:00 UTC = 0996-01-01, 35:47:37 ÄÜC
0345-01-01, 00:00:00 UTC = 0997-00-20, 06:22:47 ÄÜC
0346-01-01, 00:00:00 UTC = 0997-06-37, 33:06:40 ÄÜC
0347-01-01, 00:00:00 UTC = 0998-06-06, 10:39:32 ÄÜC
0348-01-01, 00:00:00 UTC = 0999-05-23, 37:23:25 ÄÜC
0349-01-01, 00:00:00 UTC = 1000-04-42, 07:47:35 ÄÜC
0350-01-01, 00:00:00 UTC = 1001-04-10, 34:31:28 ÄÜC
0351-01-01, 00:00:00 UTC = 1002-03-28, 12:15:20 ÄÜC
0352-01-01, 00:00:00 UTC = 1003-02-45, 38:48:12 ÄÜC
0353-01-01, 00:00:00 UTC = 1004-02-15, 09:23:23 ÄÜC
